customer_id,age,city,signup_date
C146,50,Bangalore,2025-02-16
C147,48,Chennai,2025-09-21
C148,56,Chennai,2025-11-14
C149,52,Delhi,2024-07-21
C150,33,Bangalore,2025-11-29
C151,34,Mumbai,2026-04-20
C152,58,Chennai,2024-07-04
C153,55,Mumbai,2025-09-25
C154,41,Mumbai,2025-12-25
C155,24,Hyderabad,2025-03-21
C156,51,Hyderabad,2025-04-27
C157,54,Delhi,2026-05-15
C158,24,Hyderabad,2026-05-07
C159,26,Delhi,2025-05-28
C160,25,Hyderabad,2025-04-24
C161,25,Chennai,2024-12-11
C162,36,Pune,2025-04-26
C163,28,Hyderabad,2024-09-07
C164,36,Hyderabad,2025-09-27
C165,59,Mumbai,2024-10-10
C166,60,Mumbai,2026-05-21
C167,47,Chennai,2024-08-30
C168,58,Hyderabad,2025-01-03
C169,54,Bangalore,2026-02-04
C170,37,Delhi,2025-06-13
C171,41,Delhi,2026-03-18
C172,37,Pune,2025-04-21
C173,29,Chennai,2024-12-18
C174,40,Pune,2025-09-12
C175,41,Mumbai,2025-06-18
C176,21,Pune,2025-04-28
C177,60,Hyderabad,2026-02-07
C178,27,Mumbai,2026-04-27
C179,55,Delhi,2026-04-25
C180,53,Bangalore,2026-03-09
C181,29,Bangalore,2025-05-22
C182,25,Delhi,2025-05-02
C183,44,Bangalore,2024-06-10
C184,31,Pune,2026-01-26
C185,55,Chennai,2025-10-14
C186,40,Hyderabad,2025-05-28
C187,54,Mumbai,2025-09-16
C188,56,Bangalore,2025-06-19
C189,27,Delhi,2024-08-24
C190,37,Mumbai,2025-10-17
C191,27,Chennai,2025-07-21
C192,56,Delhi,2025-01-20
C193,38,Bangalore,2026-02-10
C194,59,Delhi,2025-05-01
C195,42,Delhi,2025-07-26
C196,37,Hyderabad,2025-02-21
C197,52,Bangalore,2025-08-24
C198,24,Mumbai,2026-01-11
C199,48,Bangalore,2025-11-30
C200,23,Mumbai,2024-11-09
